IMSS,ELECTRONICA Y MEDICINA SA,857887064.0,Servicios
IMSS,SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV,829429636.0,Servicios
IMSS,SUMINISTRO PARA USO MEDICO Y HOSPITALARIO SA,697222709.4,Servicios
IMSS,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,691695728.2,Servicios
IMSS,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,674521834.4,Servicios
IMSS,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,560173165.8,Servicios
IMSSBIENESTAR,MEDICA TEYCO SA DE CV,548821339.0,Instrumental medico
IMSS,RADIOLOGIA Y ELECTRONICA DE MEXICO SA DE CV,538624228.0,Servicios
IMSS,TELECOMUNICACION Y EQUIPOS SA DE CV,514861011.0,Servicios
IMSS,DRÄGER MEDICAL MEXICO SA DE CV,504276182.0,Servicios
