IMSSBIENESTAR,FERNANDO JAVIER FARIAS GONZALEZ,212808610.7,Servicios
IMSSBIENESTAR,INVITRO DIAGNOSTICS MEXICO SA DE CV,77747300.0,Servicios
IMSS,ASESORES EN TECNOLOGIA BIOMEDICA S DE RL DE C,37350000.0,Hemodinamia
IMSS,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,28703189.66,Hemodinamia
CINVESTAV,CARL ZEISS DE MEXICO SA DE CV,17049540.0,Servicios
HIM,SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV,12931031.0,Servicios
IMSSBIENESTAR,TELECOMUNICACION Y EQUIPOS SA DE CV,11309179.06,Servicios
INER,GRUPO EOLICA SA DE CV,10905600.0,Servicios
IMSS,CASONATO STEELCO SPA SA DE CV,10850000.0,Servicios
SEDENA,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,10455614.52,Servicios
