ISSSTE,NUDOMI SA DE CV,233600000.0,Rayos x,LA-051GYN020-E27-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2336850
SEDENA,VITALMEX INTERNACIONAL SA DE CV,216496183.5,Servicios,LA-007000999-E950-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2324598
SEDENA,FARMACEUTICOS MAYPO SA DE CV,118232931.75,Servicios,LA-007000999-E619-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2283036
IMSS,VITER MEDICAL SA DE CV,87748090.98,Monitoreo,LA-050GYR040-E14-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2275387
IMSS,MINARIC SA DE CV,83137809.8,Monitoreo,LA-050GYR040-E14-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2275387
IMSS,NUDOMI SA DE CV,75902842.18,Terapia,LA-050GYR040-E21-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2303799
NL,EMPRESAS KLAVE SA DE CV,75855000.0,Laboratorio,LA-919043975-E1-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2364495
IMSS,GRUPO COMERCIALIZADOR ROIAL SA DE CV,71546300.0,Monitoreo,AA-050GYR040-E24-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2319884
PUE,9 ONCE DISTRIBUIDORA SA DE CV,67564610.36,Servicios,LA-921002997-E3-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2132633
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,65613745.85,Camas,AA-012M7B998-E138-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2346651
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,65613745.85,Camas,AA-012M7B998-E138-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2346651
ISSSTE,SERVICIOS AVANZADOS EN MEDICINA INTEGRAL SA D,64877155.72,Instrumental quirurgico,LA-051GYN020-E28-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2341639
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,63001450.0,Construccion,AA-012M7B998-E107-2021,https://historico-compranet.buengobierno.gob.mx/#/detalle/2315222
