Proveedor o contratista,Importe del contrato
Casonato Steelco Spa Sa De Cv,10.9354
Radiologia Y Electronica De Mexico Sa De Cv,11.4438964
Telecomunicacion Y Equipos Sa De Cv,11.78917906
Electronica Y Medicina Sa,12.690968
Siemens Healthcare Diagnostics S De Rl De Cv,13.24036169
Carl Zeiss De Mexico Sa De Cv,19.40154554
Servicio Y Venta De Insumos Medicos Especiali,28.70318966
Asesores En Tecnologia Biomedica S De Rl De C,38.024
Invitro Diagnostics Mexico Sa De Cv,77.7473
Fernando Javier Farias Gonzalez,212.80861069999997
