IMSS,HUMAN CORPORIS SA DE CV,400765683.0,Radioterapia
IMSS,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,260113869.0,Resonancia magnetica
IMSS,ENERLOGIC S A P I DE CV,254772212.2,Refrigeracion
SEDENA,SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV,223376840.0,Servicios
INSABI,BIOSYSTEMS HLS SA DE CV,179300000.0,Cuidado materno infantil
INSABI,CASONATO STEELCO SPA SA DE CV,172672000.0,Esterilizador
MICH,MOVIL INFRA TECHNOLOGY S A P I DE CV,172134781.2,Varios
IMSSBIENESTAR,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,170394000.0,Tomografia
IMSS,CASONATO STEELCO SPA SA DE CV,160061382.0,Esterilizador
SSASLP,RAFAEL MARIO GOMEZ BARBA,127939869.7,Varios
