Proveedor o contratista,Importe del contrato
Siemens Healthcare Diagnostics S De Rl De Cv,1317.56186532
Electronica Y Medicina Sa,882.095178
Ge Sistemas Medicos De Mexico Sa De Cv,767.89719885
Servicio Y Venta De Insumos Medicos Especiali,728.12988288
Suministro Para Uso Medico Y Hospitalario Sa,722.46772459
Telecomunicacion Y Equipos Sa De Cv,598.36207074
Servicios De Ingenieria En Medicina Sa De Cv,594.1880281
Radiologia Y Electronica De Mexico Sa De Cv,583.3881243999999
Medica Teyco Sa De Cv,548.821339
Dräger Medical Mexico Sa De Cv,534.88742802
