ISSSTE,SAVARE MEDIKA SA DE CV,930000000.0,Tomografia,AA-051GYN020-E115-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557253
ISSSTE,SAVARE MEDIKA SA DE CV,598000000.0,Resonancia magnetica,AA-051GYN020-E113-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557207
IMSS,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,577847000.0,Medicina nuclear,LA-050GYR040-E16-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2443640
IMSS,TELECOMUNICACION Y EQUIPOS SA DE CV,505250000.0,Tomografia,LA-050GYR040-E17-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2443665
ISSSTE,ELECTRONICA Y MEDICINA SA,391921052.3,Rayos x,AA-051GYN020-E101-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555383
IMSS,INSTRUMENTACION MEDICA SA DE CV,264553800.0,Camas,LA-050GYR040-E26-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2473652
ISSSTE,CONSORCIO HERMES SA DE CV,258349000.0,Tecnologia de informacion,AA-051GYN020-E121-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2558960
ISSSTE,ELECTRONICA Y MEDICINA SA,215076125.1,Rayos x,AA-051GYN020-E99-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555212
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,160014618.0,Resonancia magnetica,LA-012M7B997-E29-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2452259
IMSS,JOSE SAFAR BOUERI,135505000.0,Dental,LA-050GYR040-E20-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2450233
ISSSTE,ELECTRONICA Y MEDICINA SA,129925598.0,Radioterapia,AA-051GYN020-E117-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557293
AGS,ELECTRONICA Y MEDICINA SA,129267707.6,Radioterapia,LA-901026999-E10-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2416020
QRO,EMCYHH S DE RL DE CV,128764655.0,Accesorios,LA-922010998-E55-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2553216
SEMAR,DEWIMED SA,128360540.0,Tomografia,AA-013000999-E912-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2474556
IMSS,GRUPO TERRESCO SA DE CV,114326120.0,Refrigeracion,LA-050GYR040-E27-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2486509
IMSS,VITER MEDICAL SA DE CV,102852750.0,Camas,LA-050GYR040-E26-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2473652
IMSS,GRUPO ABUNDANZAA SA DE CV,102709620.0,Camas,LA-050GYR040-E26-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2473652
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,97313604.5,Resonancia magnetica,AA-012M7B998-E2-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2387085
IMSS,FEHLMEX SA DE CV,92872000.0,Esterilizador,LA-050GYR040-E19-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2443790
IMSS,HUMAN CORPORIS SA DE CV,82562362.0,Radioterapia,LA-050GYR040-E2-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2398454
IMSS,CAF HEALTHCARE SYSTEMS SA DE CV,79998600.0,Carro rojo,LA-050GYR040-E38-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2547282
ISSSTE,CORINDAL,70612000.0,Mesas,AA-051GYN020-E100-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555363
ISSSTE,ELECTRONICA Y MEDICINA SA,69572435.0,Radioterapia,AA-051GYN020-E118-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557332
ISSSTE,HUMAN CORPORIS SA DE CV,68677562.0,Radioterapia,AA-051GYN020-E119-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557343
IMSS,GRUPO ABUNDANZAA SA DE CV,67574959.0,Instrumental medico,LA-050GYR040-E27-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2486509
ISSSTE,SAVARE MEDIKA SA DE CV,65500000.0,Resonancia magnetica,AA-051GYN020-E114-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557241
ISSSTE,ELECTRONICA Y MEDICINA SA,60995234.0,Radioterapia,AA-051GYN020-E120-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2557348
INP,HUMAN CORPORIS SA DE CV,59962062.0,Radioterapia,LA-012NCZ001-E136-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2416670
ISSSTE,CORPORATIVO MS SISTEMAS MEDICOS SA DE CV,56100000.0,Electroencefalografo,AA-051GYN020-E92-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555190
INSABI,POLAR HOSPITALARIA SA DE CV,53667405.1,Camas,AA-012M7B998-E2-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2387085
INSABI,ELDORADO DISTRIBUCIONES,52347652.0,Endoscopia,LA-012M7B997-E70-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2490907
IMSS,TECNOLOGIA Y DISENO INDUSTRIAL SAPI DE CV,52239846.0,Ortopedia,LA-050GYR082-E13-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2401938
INSABI,POLAR HOSPITALARIA SA DE CV,51259474.0,Camas,LA-012M7B997-E29-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2452259
ISSSTE,ELECTRONICA Y MEDICINA SA,50350058.78,Rayos x,AA-051GYN020-E102-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555425
IMSS,CAMAS Y CAMILLAS SA DE CV,49955500.0,Camas,LA-050GYR040-E38-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2547282
IMSS,MAPE+TZIN SA DE CV,49464000.0,Dental,LA-050GYR040-E20-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2450233
IMSS,JOSE SAFAR BOUERI,48999900.0,Dental,LA-050GYR040-E21-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2451276
INSABI,TELECOMUNICACION Y EQUIPOS SA DE CV,46950000.0,Resonancia magnetica,LA-012M7B997-E97-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2516679
ISSSTE,FUJIFILM DE MEXICO SA DE CV,46500000.0,Endoscopia,AA-051GYN020-E97-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2555208
ISSSTE,CENTRAL MEDICA DE SUMINISTROS SA DE CV,43225800.0,Lamparas,AA-051GYN020-E29-2022,https://historico-compranet.buengobierno.gob.mx/#/detalle/2527232
